"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2006" 
"15180","Brownsville-Harlingen, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,15241 
"15260","Brunswick, GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27298 
"15380","Buffalo-Niagara Falls, NY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32060 
"15500","Burlington, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27075 
"15540","Burlington-South Burlington, VT (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,43560 
"15940","Canton-Massillon, OH (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26831 
"15980","Cape Coral-Fort Myers, FL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,33564 
"16020","Cape Girardeau-Jackson, MO-IL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27733 
"16180","Carson City, NV (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,45272 
"16220","Casper, WY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,52538 
"16300","Cedar Rapids, IA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,40540 
"16580","Champaign-Urbana, IL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28832 
"16620","Charleston, WV (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,36486 
"16700","Charleston-North Charleston-Summerville, SC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,33308 
"16740","Charlotte-Gastonia-Concord, NC-SC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,63795 
"16820","Charlottesville, VA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,37815 
"16860","Chattanooga, TN-GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,33974 
"16940","Cheyenne, WY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,36914 
"16980","Chicago-Naperville-Joliet, IL-IN-WI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,45458 
"17020","Chico, CA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,22458 
"17140","Cincinnati-Middletown, OH-KY-IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,38302 
"17300","Clarksville, TN-KY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28636 
"17420","Cleveland, TN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27759 
"17460","Cleveland-Elyria-Mentor, OH (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,41727 
"17660","Coeur d'Alene, ID (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,25501 
"17780","College Station-Bryan, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,23803 
"17820","Colorado Springs, CO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32167 
"17860","Columbia, MO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,30631 
"17900","Columbia, SC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,34586 
"17980","Columbus, GA-AL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29626 
"18020","Columbus, IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,46541 
"18140","Columbus, OH (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,43291 
"18580","Corpus Christi, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27407 
"18700","Corvallis, OR (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,49148 
"19060","Cumberland, MD-WV (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,19758 
"19100","Dallas-Fort Worth-Arlington, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,49835 
"19140","Dalton, GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,41601 
"19180","Danville, IL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,23087 
